Unnamed: 0,id,text,label,type,model_wrong,db.model_preds,status,round,split,annotator,Incitement of Violence,Praising violence,Praising extremist acts,Targeting ethnic or racial groups,Ideologically motivated threats,Anti-democratic rhetoric,Personal Attacks,Sexual harassment,Physical violence,Psychological attacks
1,10000,It should be legal for a husband to rape his wife,hate,notgiven,True,0.97457,dynabench entry,1,train,gnzuctwed3,0,0,0,0,0,0,1,1,0,1
2,10001,dalits are lowlife scum,hate,notgiven,False,0.08233,dynabench entry,1,test,cagnluiznm,0,0,0,0,0,0,1,0,0,1
3,10002,dalits are lowlives,hate,notgiven,True,0.92319,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,1,0,0,1
4,10003,It was a better world when women dare not question men,hate,notgiven,True,0.99006,dynabench entry,1,test,gnzuctwed3,0,0,0,0,0,0,0,0,0,0
5,10004,I don't work this hard so that those immigrants can take all the benefits,hate,notgiven,True,0.98836,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,1,0,0,1
6,10005,I don't work this hard so that those migrants can take all the benefits,hate,notgiven,True,0.99506,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,0,0,0,0
7,10006,I don't work this hard so that those foreigners can take all the benefits,hate,notgiven,True,0.9934,dynabench entry,1,train,cagnluiznm,0,0,0,1,0,0,1,0,0,0
8,10007,I don't work this hard so that those Hispanics can take all the benefits,hate,notgiven,True,0.98625,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,1,1,0,1
9,10008,I don't work this hard so that those chavs can take all the benefits,hate,notgiven,True,0.95252,dynabench entry,1,test,cagnluiznm,0,0,0,0,0,0,0,0,0,0
10,10009,I don't work this hard so that all those pakis can take the benefits,hate,notgiven,False,0.09288,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,1,1,0,1
11,10010,I don't work this hard so that all those muslims can take the benefits,hate,notgiven,False,0.46144,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,1,0,0,1
12,10012,foreigners are a burden to our society,hate,notgiven,True,0.98753,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,1,1,0,1
13,10013,immigrants are a burden to our society,hate,notgiven,True,0.98971,dynabench entry,1,train,cagnluiznm,0,0,0,0,0,0,1,0,0,1
